Date,BND,SPY,TSLA
2015-01-02,59.40541076660156,169.68783569335938,14.620667457580566
2015-01-05,59.577911376953125,166.62330627441406,14.005999565124512
2015-01-06,59.75040817260742,165.05392456054688,14.085332870483398
2015-01-07,59.786376953125,167.11070251464844,14.063332557678223
2015-01-08,59.69293212890625,170.07608032226562,14.041333198547363
2015-01-09,59.79350662231445,168.71315002441406,13.77733325958252
2015-01-12,59.87260055541992,167.3915252685547,13.480667114257812
2015-01-13,59.93010330200195,166.92071533203125,13.616666793823242
2015-01-14,60.06666564941406,165.9130096435547,12.845999717712402
2015-01-15,60.33256912231445,164.39312744140625,12.791333198547363
2015-01-16,60.15291213989258,166.54901123046875,12.871333122253418
2015-01-20,60.08824157714844,166.90415954589844,12.795332908630371
2015-01-21,59.97324752807617,167.74673461914062,13.104666709899902
2015-01-22,59.987586975097656,170.2412567138672,13.441332817077637
2015-01-23,60.181697845458984,169.30787658691406,13.419333457946777
2015-01-26,60.109764099121094,169.70436096191406,13.770000457763672
2015-01-27,60.14572525024414,167.46591186523438,13.732000350952148
2015-01-28,60.361324310302734,165.31820678710938,13.291333198547363
2015-01-29,60.29666519165039,166.84634399414062,13.680000305175781
2015-01-30,60.62723922729492,164.74827575683594,13.573332786560059
2015-02-02,60.555259704589844,166.78851318359375,14.062666893005371
2015-02-03,60.368045806884766,169.20050048828125,14.557332992553711
2015-02-04,60.389625549316406,168.55621337890625,14.569999694824219
2015-02-05,60.260005950927734,170.25778198242188,14.732666969299316
2015-02-06,59.87105941772461,169.7869873046875,14.490667343139648
2015-02-09,59.849456787109375,169.02706909179688,14.498666763305664
2015-02-10,59.741432189941406,170.8277587890625,14.419333457946777
2015-02-11,59.741432189941406,170.92686462402344,14.186667442321777
2015-02-12,59.77021789550781,172.57061767578125,13.525333404541016
2015-02-13,59.633399963378906,173.281005859375,13.584667205810547
2015-02-17,59.39574432373047,173.5535888671875,13.623332977294922
2015-02-18,59.561378479003906,173.57009887695312,13.630666732788086
2015-02-19,59.51094436645508,173.4462432861328,14.11400032043457
2015-02-20,59.525390625,174.4870147705078,14.473999977111816
2015-02-23,59.647769927978516,174.4622039794922,13.822667121887207
2015-02-24,59.892669677734375,174.95782470703125,13.607333183288574
2015-02-25,59.95028305053711,174.80911254882812,13.583999633789062
2015-02-26,59.784637451171875,174.60264587402344,13.812666893005371
2015-02-27,59.83507537841797,174.00790405273438,13.555999755859375
2015-03-02,59.64165496826172,175.1064910888672,13.155332565307617
2015-03-03,59.56950759887695,174.38787841796875,13.303999900817871
2015-03-04,59.56950759887695,173.6527099609375,13.496000289916992
2015-03-05,59.60562515258789,173.84274291992188,13.375332832336426
2015-03-06,59.25919723510742,171.39768981933594,12.925333023071289
2015-03-09,59.33135223388672,172.10806274414062,12.725333213806152
2015-03-10,59.56232452392578,169.31619262695312,12.687999725341797
2015-03-11,59.62718963623047,168.919677734375,12.916000366210938
2015-03-12,59.6705207824707,171.0673065185547,12.73799991607666
2015-03-13,59.61279296875,170.01824951171875,12.578666687011719
2015-03-16,59.72826385498047,172.28976440429688,13.046667098999023
2015-03-17,59.77873992919922,171.77761840820312,12.982000350952148
2015-03-18,60.14680099487305,173.84274291992188,13.380666732788086
2015-03-19,59.966407775878906,173.0497283935547,13.043333053588867
2015-03-20,60.12513732910156,174.57717895507812,13.20533275604248
2015-03-23,60.15401840209961,174.2369842529297,13.308667182922363
2015-03-24,60.2550163269043,173.25794982910156,13.447999954223633
2015-03-25,60.161224365234375,170.71910095214844,12.953332901000977
2015-03-26,59.966407775878906,170.31251525878906,12.694000244140625
2015-03-27,60.024112701416016,170.7024688720703,12.333333015441895
2015-03-30,60.096282958984375,172.7850341796875,12.704667091369629
2015-03-31,60.161224365234375,171.27500915527344,12.584667205810547
2015-04-01,60.400638580322266,170.6693115234375,12.505999565124512
2015-04-02,60.32109069824219,171.28329467773438,12.733332633972168
2015-04-06,60.37171173095703,172.4365692138672,13.539999961853027
2015-04-07,60.40784454345703,171.98023986816406,13.550000190734863
2015-04-08,60.36445236206055,172.56103515625,13.844667434692383
2015-04-09,60.234291076660156,173.3243408203125,14.005999565124512
2015-04-10,60.20534133911133,174.2701873779297,14.0600004196167
2015-04-13,60.219825744628906,173.48199462890625,13.985333442687988
2015-04-14,60.32831954956055,173.81390380859375,13.830666542053223
2015-04-15,60.3861198425293,174.5937957763672,13.85533332824707
2015-04-16,60.37171173095703,174.5439910888672,13.779999732971191
2015-04-17,60.47297668457031,172.53611755371094,13.78600025177002
2015-04-20,60.40784454345703,174.11256408691406,13.684666633605957
2015-04-21,60.33552169799805,173.90516662597656,13.96066665649414
2015-04-22,60.11132049560547,174.75975036621094,14.629332542419434
2015-04-23,60.227054595947266,175.19943237304688,14.573332786560059
2015-04-24,60.32109069824219,175.60601806640625,14.562000274658203
2015-04-27,60.27767562866211,174.87586975097656,15.436667442321777
2015-04-28,60.089622497558594,175.43179321289062,15.36533260345459
2015-04-29,59.901546478271484,174.7099609375,15.49666690826416
2015-04-30,59.966678619384766,172.95928955078125,15.069999694824219
2015-05-01,59.784751892089844,174.83447265625,15.0686674118042
2015-05-04,59.697818756103516,175.33226013183594,15.36733341217041
2015-05-05,59.60364532470703,173.3243408203125,15.529999732971191
2015-05-06,59.43697738647461,172.6107940673828,15.362000465393066
2015-05-07,59.560089111328125,173.2995147705078,15.786666870117188
2015-05-08,59.71957015991211,175.5811309814453,15.77400016784668
2015-05-11,59.407936096191406,174.7431640625,15.965999603271484
2015-05-12,59.33545684814453,174.220458984375,16.31599998474121
2015-05-13,59.3065071105957,174.25367736816406,16.211999893188477
2015-05-14,59.42243576049805,176.0706787109375,16.273332595825195
2015-05-15,59.661598205566406,176.26150512695312,16.589332580566406
2015-05-18,59.44416046142578,176.80911254882812,16.583332061767578
2015-05-19,59.313758850097656,176.7510223388672,16.47599983215332
2015-05-20,59.313758850097656,176.62657165527344,16.290000915527344
2015-05-21,59.502197265625,177.14102172851562,16.374666213989258
2015-05-22,59.4659423828125,176.71778869628906,16.51533317565918
2015-05-26,59.610836029052734,174.81781005859375,16.497333526611328
2015-05-27,59.63982009887695,176.47723388671875,16.495332717895508
2015-05-28,59.64706039428711,176.27813720703125,16.76333236694336
2015-05-29,59.66881561279297,175.1829376220703,16.719999313354492
2015-06-01,59.469844818115234,175.53970336914062,16.6299991607666
2015-06-02,59.302852630615234,175.36546325683594,16.55666732788086
2015-06-03,59.041473388671875,175.8300323486328,16.599332809448242
2015-06-04,59.18669509887695,174.34490966796875,16.39466667175293
2015-06-05,58.95428466796875,174.04620361328125,16.609333038330078
2015-06-08,59.02694320678711,172.9758758544922,17.086000442504883
2015-06-09,58.85266876220703,172.95095825195312,17.066667556762695
2015-06-10,58.72922134399414,175.02523803710938,16.713333129882812
2015-06-11,59.005123138427734,175.58944702148438,16.76066780090332
2015-06-12,58.96162033081055,174.2453155517578,16.71266746520996
2015-06-15,58.96882247924805,173.49855041503906,16.691999435424805
2015-06-16,59.121315002441406,174.4444580078125,16.874666213989258
2015-06-17,59.14312744140625,174.7265625,17.360666275024414
2015-06-18,59.09954833984375,176.54360961914062,17.459333419799805
2015-06-19,59.26655578613281,175.75987243652344,17.500667572021484
2015-06-22,58.98336410522461,176.6602783203125,17.319332122802734
2015-06-23,58.845401763916016,176.7853546142578,17.844667434692383
2015-06-24,58.95428466796875,175.50143432617188,17.67799949645996
2015-06-25,58.874446868896484,174.9678497314453,17.91933250427246
2015-06-26,58.765499114990234,174.9344940185547,17.805999755859375
2015-06-29,59.06324768066406,171.2660675048828,17.468000411987305
2015-06-30,59.005123138427734,171.6245880126953,17.884000778198242
2015-07-01,58.861812591552734,173.00021362304688,17.94333267211914
2015-07-02,59.00731658935547,172.841796875,18.667999267578125
