,Forecast
2027-03-05,415.43787211322785
2027-03-08,415.4392088964555
2027-03-09,415.44090625254034
2027-03-10,415.4421685740073
2027-03-11,415.4424650444726
2027-03-12,415.4417478429053
2027-03-15,415.440429301398
2027-03-16,415.43915588844584
2027-03-17,415.43849657424045
2027-03-18,415.43869720223285
2027-03-19,415.4395959980803
2027-03-22,415.44073198183776
2027-03-23,415.4415746613621
2027-03-24,415.4417681228523
2027-03-25,415.4412752679935
2027-03-26,415.4403712330131
2027-03-29,415.43949481719915
2027-03-30,415.4390395532825
2027-03-31,415.4391788980954
2027-04-01,415.43980560775435
2027-04-02,415.44060039523436
2027-04-05,415.4411921932672
2027-04-06,415.4413284209806
2027-04-07,415.4409809355714
2027-04-08,415.44034187052614
2027-04-09,415.4397215735351
2027-04-12,415.43939912113507
2027-04-13,415.4394987825152
2027-04-14,415.4399447380847
2027-04-15,415.4405104091335
2027-04-16,415.4409313951996
2027-04-19,415.44102799865703
2027-04-20,415.44077995871197
2027-04-21,415.44032439659753
2027-04-22,415.4398820378497
2027-04-23,415.4396515148224
2027-04-26,415.43972102061133
2027-04-27,415.4400370209302
2027-04-28,415.4404388634759
2027-04-29,415.44073943351094
2027-04-30,415.44081122830664
2027-05-03,415.44063941374185
2027-05-04,415.44031974946154
2027-05-05,415.4400070936008
2027-05-06,415.4398410381041
2027-05-07,415.43988450619565
2027-05-10,415.4401014462262
2027-05-11,415.4403809760124
2027-05-12,415.4405929562812
2027-05-13,415.4406479517151
2027-05-14,415.4405339916665
2027-05-17,415.4403157869342
2027-05-18,415.4400994902181
2027-05-19,415.4399818052333
2027-05-20,415.44000736154806
2027-05-21,415.4401530220675
2027-05-24,415.44034370799534
2027-05-25,415.4404902823575
2027-05-26,415.44053059536003
2027-05-27,415.4404551899218
2027-05-28,415.4403072776608
2027-05-31,415.4401591634399
2027-06-01,415.4400774511627
2027-06-02,415.4400936363534
2027-06-03,415.440192712108
2027-06-04,415.4403235840028
2027-06-07,415.440424827066
2027-06-08,415.4404531144775
2027-06-09,415.44040131051236
2027-06-10,415.440298928118
2027-06-11,415.4401960160209
2027-06-14,415.44013904532125
2027-06-15,415.4401502181946
2027-06-16,415.4402193089283
